customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-75682867,Male,0,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.65,674.05,Yes
CUST-66755036,Male,0,No,No,67,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,86.34,5784.78,No
CUST-66882282,Male,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.52,855.6,Yes
CUST-31081788,Female,0,No,No,45,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),88.68,3990.6,No
CUST-23315092,Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,86.49,4410.99,No
CUST-45788921,Male,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,100.98,4746.06,No
CUST-36735830,Male,0,Yes,No,53,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,114.11,6047.83,No
CUST-41632483,Female,1,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),35.8,2291.2,No
CUST-86737383,Male,0,Yes,No,38,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,105.56,4011.28,No
CUST-98358551,Female,0,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,115.31,7379.84,No
CUST-98409749,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,88.49,619.43,Yes
CUST-14981505,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,100.06,2201.32,Yes
CUST-23953367,Male,1,No,No,41,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,101.08,4144.28,Yes
CUST-95652971,Male,0,No,Yes,10,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),99.53,995.3,No
CUST-14521373,Male,0,Yes,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),36.88,2102.16,No
CUST-13344769,Male,0,Yes,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,84.99,594.93,Yes
CUST-86893497,Male,1,No,No,50,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),111.21,5560.5,Yes
CUST-40349564,Female,1,No,No,52,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),71.57,3721.64,Yes
CUST-52860080,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),121.75,4017.75,Yes
CUST-87751354,Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.83,29.83,No
CUST-72250665,Female,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),101.46,5377.38,Yes
CUST-76209791,Female,0,No,Yes,60,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,84.14,5048.4,Yes
CUST-56792155,Male,0,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,92.74,3153.16,No
CUST-31498555,Male,0,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,110.27,441.08,No
CUST-70221198,Female,0,No,No,17,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),76.19,1295.23,No
CUST-89757501,Male,0,Yes,No,4,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,98.12,392.48,Yes
CUST-26861870,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,119.01,5117.43,Yes
CUST-62286002,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,102.02,408.08,Yes
CUST-42049003,Male,1,No,No,1,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),110.44,110.44,No
CUST-71136438,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),93.04,6605.84,No
CUST-72194931,Male,0,Yes,No,50,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,97.73,4886.5,Yes
CUST-75285250,Female,1,Yes,No,61,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,87.12,5314.32,Yes
CUST-79537252,Male,0,Yes,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.63,687.05,No
CUST-69248434,Female,0,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,124.81,998.48,Yes
CUST-71306900,Female,0,Yes,Yes,24,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,63.72,1529.28,No
CUST-65831368,Female,0,Yes,Yes,36,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,86.39,3110.04,Yes
CUST-20959014,Male,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.49,1874.5,Yes
CUST-66972561,Male,0,No,Yes,43,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,71.72,3083.96,No
CUST-58900483,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,41.43,1118.61,No
CUST-30193880,Male,0,No,No,32,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),94.76,3032.32,No
CUST-13385357,Male,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.76,679.68,No
CUST-54738553,Male,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.14,815.92,No
CUST-78574553,Female,1,No,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,131.06,3800.74,Yes
CUST-26845364,Female,0,Yes,No,16,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),95.47,1527.52,No
CUST-62157313,Male,1,Yes,No,47,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,72.06,3386.82,No
CUST-21392366,Female,0,Yes,Yes,59,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),88.09,5197.31,Yes
CUST-79778859,Male,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),138.85,4304.35,Yes
CUST-98883975,Male,0,Yes,Yes,4,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),77.43,309.72,Yes
CUST-23479854,Male,0,Yes,No,37,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),69.96,2588.52,Yes
CUST-83506850,Male,1,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),104.46,1775.82,No
CUST-23187277,Female,1,No,No,39,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),135.19,5272.41,Yes
CUST-78979792,Female,0,Yes,No,48,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),81.56,3914.88,No
CUST-47709731,Female,0,No,No,46,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.14,3686.44,Yes
CUST-36939239,Male,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),43.39,2082.72,No
CUST-33027075,Male,0,No,No,39,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,115.62,4509.18,Yes
CUST-91200125,Male,0,No,Yes,4,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,84.96,339.84,Yes
CUST-96191493,Female,0,Yes,No,30,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,64.7,1941.0,No
CUST-97796277,Male,0,No,No,30,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),95.2,2856.0,No
CUST-76401385,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),94.54,2079.88,No
CUST-32335235,Female,0,Yes,No,66,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,91.24,6021.84,No
CUST-10271836,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,41.62,499.44,No
CUST-13584702,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,126.06,4538.16,Yes
CUST-62631083,Female,0,Yes,No,18,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,101.18,1821.24,No
CUST-18585377,Female,0,No,Yes,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.23,1178.19,Yes
CUST-96544585,Male,0,No,Yes,71,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,76.19,5409.49,No
CUST-95157821,Male,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.24,36.24,Yes
CUST-97655395,Female,0,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.46,1940.68,Yes
CUST-27824013,Female,0,No,No,6,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,91.29,547.74,Yes
CUST-46601694,Male,0,Yes,No,70,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.67,4876.9,Yes
CUST-77105583,Female,0,No,No,44,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,103.31,4545.64,Yes
CUST-70304654,Female,0,No,No,72,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),102.27,7363.44,No
CUST-44119117,Male,1,No,No,24,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.83,2275.92,Yes
CUST-46433622,Female,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.46,711.74,Yes
CUST-99482491,Female,0,Yes,Yes,18,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),119.8,2156.4,Yes
CUST-70031992,Female,0,No,Yes,30,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),82.13,2463.9,No
CUST-65105831,Male,0,No,No,42,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,90.87,3816.54,No
CUST-13366612,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,102.83,3393.39,No
CUST-68743503,Male,0,No,No,12,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,95.04,1140.48,No
CUST-46258670,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),98.27,2653.29,Yes
CUST-79739572,Female,0,No,No,39,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,97.35,3796.65,Yes
CUST-65848857,Male,0,No,Yes,9,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.37,624.33,Yes
